standardscaler,n_neighbors,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
StandardScaler(),5,0.9571428571428571,0.06546536707079774,1,0.9738762559492333,0.012997484088163752
MinMaxScaler(),5,0.9571428571428571,0.06546536707079774,1,0.9803807509254364,0.009854244756334042
PowerTransformer(method='box-cox'),5,0.9428571428571428,0.06998542122237654,3,0.972236911686938,0.007445863479814238
QuantileTransformer(n_quantiles=100),5,0.9285714285714286,0.095831484749991,4,0.936277102062401,0.015393134863250143
MinMaxScaler(),51,0.8095238095238095,0.06299407883487118,5,0.8088313061872026,0.0071975978788028664
StandardScaler(),51,0.8095238095238095,0.06299407883487118,5,0.8088313061872026,0.0071975978788028664
PowerTransformer(method='box-cox'),51,0.8095238095238095,0.06299407883487118,5,0.8055526176626124,0.008801489897020617
QuantileTransformer(n_quantiles=100),51,0.7928571428571429,0.07532996199788747,8,0.8006610259122159,0.009568915759215644
,5,,,9,,
,51,,,9,,
,101,,,9,,
StandardScaler(),101,,,9,,
MinMaxScaler(),101,,,9,,
QuantileTransformer(n_quantiles=100),101,,,9,,
PowerTransformer(method='box-cox'),101,,,9,,
